dates,#calls,weekday,day,month
2019-04-22,16769,0,22,4
2019-04-23,18520,1,23,4
2019-04-24,18965,2,24,4
2019-04-25,18458,3,25,4
2019-04-26,17272,4,26,4
2019-04-27,18291,5,27,4
2019-04-28,17668,6,28,4
2019-04-29,17972,0,29,4
2019-04-30,19075,1,30,4
2019-05-01,19697,2,1,5
2019-05-02,19461,3,2,5
2019-05-03,18541,4,3,5
2019-05-04,18569,5,4,5
2019-05-05,16771,6,5,5
2019-05-06,18120,0,6,5
2019-05-07,19467,1,7,5
2019-05-08,19653,2,8,5
2019-05-09,19739,3,9,5
2019-05-10,19872,4,10,5
2019-05-11,18996,5,11,5
2019-05-12,17147,6,12,5
2019-05-13,17510,0,13,5
2019-05-14,19039,1,14,5
2019-05-15,19713,2,15,5
2019-05-16,18381,3,16,5
2019-05-17,18906,4,17,5
2019-05-18,19164,5,18,5
2019-05-19,18442,6,19,5
2019-05-20,18174,0,20,5
2019-05-21,19772,1,21,5
2019-05-22,20031,2,22,5
2019-05-23,19169,3,23,5
2019-05-24,19955,4,24,5
2019-05-25,19223,5,25,5
2019-05-26,18405,6,26,5
2019-05-27,18156,0,27,5
2019-05-28,19141,1,28,5
2019-05-29,19115,2,29,5
2019-05-30,19242,3,30,5
2019-05-31,20187,4,31,5
2019-06-01,19303,5,1,6
2019-06-02,18468,6,2,6
2019-06-03,18827,0,3,6
2019-06-04,18899,1,4,6
2019-06-05,19741,2,5,6
2019-06-06,19137,3,6,6
2019-06-07,19355,4,7,6
2019-06-08,19079,5,8,6
2019-06-09,17896,6,9,6
2019-06-10,16967,0,10,6
2019-06-11,19108,1,11,6
2019-06-12,19217,2,12,6
2019-06-13,18556,3,13,6
2019-06-14,19431,4,14,6
2019-06-15,18277,5,15,6
2019-06-16,17777,6,16,6
2019-06-17,17936,0,17,6
2019-06-18,18170,1,18,6
2019-06-19,19415,2,19,6
2019-06-20,19443,3,20,6
2019-06-21,19550,4,21,6
2019-06-22,19191,5,22,6
2019-06-23,18586,6,23,6
2019-06-24,18882,0,24,6
2019-06-25,18148,1,25,6
2019-06-26,19901,2,26,6
2019-06-27,19317,3,27,6
2019-06-28,19385,4,28,6
2019-06-29,19774,5,29,6
2019-06-30,18493,6,30,6
2019-07-01,18626,0,1,7
2019-07-02,19356,1,2,7
2019-07-03,19865,2,3,7
2019-07-04,20992,3,4,7
2019-07-05,20002,4,5,7
2019-07-06,18624,5,6,7
2019-07-07,17894,6,7,7
2019-07-08,17771,0,8,7
2019-07-09,18425,1,9,7
2019-07-10,18292,2,10,7
2019-07-11,18568,3,11,7
2019-07-12,18672,4,12,7
2019-07-13,18780,5,13,7
2019-07-14,17996,6,14,7
2019-07-15,17628,0,15,7
2019-07-16,18620,1,16,7
2019-07-17,18748,2,17,7
2019-07-18,18202,3,18,7
2019-07-19,19107,4,19,7
2019-07-20,19429,5,20,7
2019-07-21,19052,6,21,7
2019-07-22,18358,0,22,7
2019-07-23,18448,1,23,7
2019-07-24,18909,2,24,7
2019-07-25,18714,3,25,7
2019-07-26,18278,4,26,7
2019-07-27,18319,5,27,7
2019-07-28,17931,6,28,7
2019-07-29,17579,0,29,7
2019-07-30,18067,1,30,7
2019-07-31,18340,2,31,7
2019-08-01,18981,3,1,8
2019-08-02,18587,4,2,8
2019-08-03,18535,5,3,8
2019-08-04,17689,6,4,8
2019-08-05,17534,0,5,8
2019-08-06,17267,1,6,8
2019-08-07,18384,2,7,8
2019-08-08,19173,3,8,8
2019-08-09,18739,4,9,8
2019-08-10,18343,5,10,8
2019-08-11,17294,6,11,8
2019-08-12,17116,0,12,8
2019-08-13,17738,1,13,8
2019-08-14,17889,2,14,8
2019-08-15,18102,3,15,8
2019-08-16,18154,4,16,8
2019-08-17,17799,5,17,8
2019-08-18,17703,6,18,8
2019-08-19,17165,0,19,8
2019-08-20,17381,1,20,8
2019-08-21,17641,2,21,8
2019-08-22,18196,3,22,8
2019-08-23,17286,4,23,8
2019-08-24,17452,5,24,8
2019-08-25,16848,6,25,8
2019-08-26,16351,0,26,8
2019-08-27,17165,1,27,8
2019-08-28,16810,2,28,8
2019-08-29,17782,3,29,8
2019-08-30,18166,4,30,8
2019-08-31,18356,5,31,8
2019-09-01,17503,6,1,9
2019-09-02,15260,0,2,9
2019-09-03,17886,1,3,9
2019-09-04,18360,2,4,9
2019-09-05,18489,3,5,9
2019-09-06,18061,4,6,9
2019-09-07,17851,5,7,9
2019-09-08,17595,6,8,9
2019-09-09,17589,0,9,9
2019-09-10,18057,1,10,9
2019-09-11,18588,2,11,9
2019-09-12,18871,3,12,9
2019-09-13,19044,4,13,9
2019-09-14,18534,5,14,9
2019-09-15,17675,6,15,9
2019-09-16,17912,0,16,9
2019-09-17,18798,1,17,9
2019-09-18,18775,2,18,9
2019-09-19,18743,3,19,9
2019-09-20,18535,4,20,9
2019-09-21,18446,5,21,9
2019-09-22,17803,6,22,9
2019-09-23,17232,0,23,9
2019-09-24,17485,1,24,9
2019-09-25,17767,2,25,9
2019-09-26,18093,3,26,9
2019-09-27,18847,4,27,9
